Date,Open,High,Low,Close,Volume
2018-11-14,1095.12,1102.12,1089.12,1094.12,1739614
2018-11-15,1097.12,1107.12,1093.12,1103.12,1862614
2018-11-16,1104.12,1113.12,1100.12,1107.12,1792614
2018-11-19,1092.12,1103.12,1089.12,1095.12,2063614
2018-11-20,1068.12,1075.12,1059.12,1064.12,2784614
2018-11-21,1076.12,1085.12,1071.12,1077.12,2147614
2018-11-22,1080.12,1083.12,1072.12,1078.12,1624614
2018-11-23,1071.12,1075.12,1060.12,1067.12,1926614
2018-11-26,1077.12,1089.12,1075.12,1083.12,1759614
2018-11-27,1079.12,1084.12,1070.12,1078.12,1838614
2018-11-28,1091.12,1103.12,1089.12,1097.12,2159614
2018-11-29,1095.12,1100.12,1089.12,1094.12,1765614
2018-11-30,1099.12,1105.12,1093.12,1100.12,1972614
2018-12-03,1116.12,1128.12,1114.12,1121.12,2138614
2018-12-04,1109.12,1114.12,1091.12,1096.12,2374614
2018-12-05,1084.12,1091.12,1074.12,1085.12,2057614
2018-12-06,1069.12,1076.12,1058.12,1068.12,2594614
2018-12-07,1060.12,1065.12,1041.12,1047.12,2876614
2018-12-10,1035.12,1043.12,1023.12,1033.12,2977614
2018-12-11,1041.12,1049.12,1032.12,1045.12,2278614
2018-12-12,1057.12,1065.12,1051.12,1058.12,1975614
2018-12-13,1067.12,1075.12,1060.12,1068.12,1829614
2018-12-14,1061.12,1068.12,1051.12,1057.12,2145614
2018-12-17,1042.12,1049.12,1030.12,1037.12,2671614
2018-12-18,1041.12,1048.12,1031.12,1038.12,2183614
2018-12-19,1030.12,1035.12,1017.12,1023.12,2561614
2018-12-20,1012.12,1018.12,998.12,1004.12,3076614
2018-12-21,995.12,1001.12,982.12,988.12,3271614
2018-12-24,970.12,984.12,961.12,976.12,2974614
2018-12-25,987.12,997.12,984.12,990.12,2376614
2018-12-26,1006.12,1018.12,997.12,1010.12,2468614
2018-12-27,1003.12,1011.12,991.12,1000.12,2276614
2018-12-28,1007.12,1017.12,1001.12,1012.12,1967614
2018-12-31,1024.12,1037.12,1018.12,1031.12,1859614
2019-01-01,1036.12,1045.12,1031.12,1037.12,1564614
2019-01-02,1032.12,1041.12,1026.12,1035.12,1937614
2019-01-03,1015.12,1022.12,1007.12,1016.12,2679614
2019-01-04,1036.12,1046.12,1032.12,1041.12,2075614
2019-01-07,1051.12,1060.12,1047.12,1054.12,1864614
2019-01-08,1061.12,1071.12,1056.12,1065.12,1739614
2019-01-09,1072.12,1080.12,1068.12,1074.12,1635614
2019-01-10,1071.12,1079.12,1067.12,1073.12,1563614
2019-01-11,1068.12,1075.12,1062.12,1069.12,1628614
2019-01-14,1057.12,1064.12,1051.12,1058.12,1947614

...

2022-07-15,107.25,109.16,106.81,108.34,2183526
2022-07-16,108.67,109.82,108.12,109.14,1872635
2022-07-17,109.35,110.48,108.92,109.72,1765329
2022-07-18,4.34,4.51,4.31,4.41,28763541
2022-07-19,4.42,4.57,4.39,4.50,19748321
2022-07-20,4.53,4.59,4.48,4.55,15687423
2022-07-21,4.57,4.64,4.52,4.60,12953216
2022-07-22,4.59,4.65,4.54,4.61,10472895
2022-07-25,4.58,4.62,4.52,4.57,9853672
2022-07-26,4.55,4.59,4.49,4.53,8964532
2022-07-27,4.58,4.65,4.56,4.62,8562147
2022-07-28,4.69,4.75,4.64,4.71,9872536
2022-07-29,4.75,4.82,4.71,4.79,8753641

...

2024-12-20,19.87,20.15,19.76,20.02,3142567
2024-12-23,20.12,20.36,20.02,20.27,2756413
2024-12-24,20.31,20.54,20.15,20.38,2452891
2024-12-25,20.36,20.58,20.21,20.43,2367845
2024-12-26,20.45,20.67,20.32,20.56,2587634
2024-12-27,20.59,20.78,20.43,20.65,2376514
2024-12-30,20.68,20.91,20.51,20.79,2587421
2024-12-31,20.82,21.04,20.67,20.87,2754312
2025-01-01,20.95,21.14,20.79,21.01,2586743
2025-01-02,21.08,21.27,20.91,21.13,2654732
2025-01-03,21.15,21.35,21.02,21.21,2543612
2025-01-06,21.02,21.18,20.85,20.97,2876543
2025-01-07,20.89,21.05,20.71,20.83,2765432
2025-01-08,20.93,21.12,20.77,20.94,2654321
2025-01-09,21.07,21.26,20.91,21.11,2543210
2025-01-10,21.18,21.39,21.04,21.21,2432109
2025-01-13,21.27,21.48,21.13,21.30,2321098
2025-01-14,21.35,21.57,21.22,21.39,2210987
2025-01-15,21.42,21.63,21.29,21.45,2109876
2025-01-16,21.51,21.73,21.38,21.54,1998765
2025-01-17,21.59,21.81,21.46,21.62,1887654
2025-01-20,21.68,21.90,21.55,21.71,1776543
2025-01-21,21.77,21.99,21.64,21.80,1665432
2025-01-22,21.86,22.08,21.73,21.89,1554321
2025-01-23,21.95,22.17,21.82,21.98,1443210
2025-01-24,22.04,22.26,21.91,22.07,1332109
2025-01-27,22.13,22.35,22.00,22.16,1221098
2025-01-28,22.22,22.44,22.09,22.25,1110987
2025-01-29,22.31,22.53,22.18,22.34,1098765
2025-01-30,22.40,22.62,22.27,22.43,1076543
2025-01-31,22.49,22.71,22.36,22.52,1065432
2025-02-03,22.58,22.80,22.45,22.61,1054321
2025-02-04,22.67,22.89,22.54,22.70,1043210
2025-02-05,22.76,22.98,22.63,22.79,1032109
2025-02-06,22.85,23.07,22.72,22.88,1021098
2025-02-07,22.94,23.16,22.81,22.97,1010987
2025-02-10,23.03,23.25,22.90,23.06,1009876
2025-02-11,23.12,23.34,22.99,23.15,1098765
2025-02-12,23.21,23.43,23.08,23.24,1187654
2025-02-13,23.30,23.52,23.17,23.33,1276543
2025-02-14,23.39,23.61,23.26,23.42,1365432
2025-02-17,23.48,23.70,23.35,23.51,1454321
2025-02-18,23.57,23.79,23.44,23.60,1543210
2025-02-19,23.66,23.88,23.53,23.69,1632109
2025-02-20,23.75,23.97,23.62,23.78,1721098
2025-02-21,23.84,24.06,23.71,23.87,1810987
2025-02-24,23.93,24.15,23.80,23.96,1909876
2025-02-25,24.02,24.24,23.89,24.05,2008765
2025-02-26,24.11,24.33,23.98,24.14,2107654
2025-02-27,24.20,24.42,24.07,24.23,2206543
2025-02-28,24.29,24.51,24.16,24.32,2305432
2025-03-03,24.38,24.60,24.25,24.41,2404321
2025-03-04,24.47,24.69,24.34,24.50,2503210
2025-03-05,24.56,24.78,24.43,24.59,2602109
2025-03-06,24.65,24.87,24.52,24.68,2701098
2025-03-07,24.74,24.96,24.61,24.77,2800987
2025-03-10,24.83,25.05,24.70,24.86,2900876
2025-03-11,24.92,25.14,24.79,24.95,3000765
2025-03-12,25.01,25.23,24.88,25.04,3100654
2025-03-13,25.10,25.32,24.97,25.13,3200543
2025-03-14,25.19,25.41,25.06,25.22,3300432
2025-03-17,25.28,25.50,25.15,25.31,3400321
2025-03-18,25.37,25.59,25.24,25.40,3500210
2025-03-19,25.46,25.68,25.33,25.49,3600109
2025-03-20,25.55,25.77,25.42,25.58,3700098
2025-03-21,25.64,25.86,25.51,25.67,3800987
2025-03-24,25.73,25.95,25.60,25.76,3900876
2025-03-25,25.82,26.04,25.69,25.85,4000765
2025-03-26,25.91,26.13,25.78,25.94,3900654
2025-03-27,26.00,26.22,25.87,26.03,3800543
2025-03-28,26.09,26.31,25.96,26.12,3700432
2025-03-31,26.18,26.40,26.05,26.21,3600321
2025-04-01,26.27,26.49,26.14,26.30,3500210
2025-04-02,26.36,26.58,26.23,26.39,3400109
2025-04-03,26.45,26.67,26.32,26.48,3300098
2025-04-04,26.54,26.76,26.41,26.57,3200987
2025-04-07,26.63,26.85,26.50,26.66,3100876
2025-04-08,26.72,26.94,26.59,26.75,3000765
2025-04-09,26.81,27.03,26.68,26.84,2900654
2025-04-10,26.90,27.12,26.77,26.93,2800543
2025-04-11,26.99,27.21,26.86,27.02,2700432
2025-04-14,27.08,27.30,26.95,27.11,2600321
2025-04-15,27.17,27.39,27.04,27.20,2500210
2025-04-16,27.26,27.48,27.13,27.29,2400109
2025-04-17,27.35,27.57,27.22,27.38,2300098
2025-04-18,27.44,27.66,27.31,27.47,2200987
